Designator,Mid X,Mid Y,Rotation,Layer
D1_2,262.7,-71.225,90.0,top
D1,28.822496,-71.125,90.0,bottom
D10_2,208.7,-79.725,90.0,top
D10,82.822496,-79.625,90.0,bottom
D11_2,190.7,-83.975,90.0,top
D11,100.822496,-83.875,90.0,bottom
D12_2,172.7,-86.1,90.0,top
D12,118.822496,-86.0,90.0,bottom
D13_2,262.7,-105.225,90.0,top
D13,28.822496,-105.125,90.0,bottom
D14_2,244.7,-105.225,90.0,top
D14,46.822496,-105.125,90.0,bottom
D15_2,226.7,-100.975,90.0,top
D15,64.822496,-100.875,90.0,bottom
D16_2,208.7,-96.725,90.0,top
D16,82.822496,-96.625,90.0,bottom
D17_2,190.7,-100.975,90.0,top
D17,100.822496,-100.875,90.0,bottom
D18_2,172.7,-103.1,90.0,top
D18,118.822496,-103.0,90.0,bottom
D19_2,198.89999962013144,-120.15000020027044,95.0,top
D19,92.62249637986858,-120.05000020027045,95.0,bottom
D2_2,244.7,-71.225,90.0,top
D2,46.822496,-71.125,90.0,bottom
D20_2,178.4999984381594,-122.22499960183865,105.0,top
D20,113.02249756184061,-122.12499960183865,105.0,bottom
D21_2,163.7000011148057,-113.7250007460708,200.0,top
D21,127.82249522721446,-113.62499980637817,200.0,bottom
D3_2,226.7,-66.975,90.0,top
D3,64.822496,-66.875,90.0,bottom
D4_2,208.7,-62.725,90.0,top
D4,82.822496,-62.625,90.0,bottom
D5_2,190.7,-66.975,90.0,top
D5,100.822496,-66.875,90.0,bottom
D6_2,172.7,-69.1,90.0,top
D6,118.822496,-69.0,90.0,bottom
D7_2,262.7,-88.225,90.0,top
D7,28.822496,-88.125,90.0,bottom
D8_2,244.7,-88.225,90.0,top
D8,46.822496,-88.125,90.0,bottom
D9_2,226.7,-83.975,90.0,top
D9,64.822496,-83.875,90.0,bottom
J1_2,158.8,-90.9,180.0,top
J1,132.722496,-90.8,180.0,bottom
SW1_2,19.822496,-66.875,0.0,top
SW1,271.7,-66.975,0.0,bottom
SW10_2,73.822496,-75.375,0.0,top
SW10,217.7,-75.475,0.0,bottom
SW11_2,91.822496,-79.625,0.0,top
SW11,199.7,-79.725,0.0,bottom
SW12_2,109.822496,-81.75,0.0,top
SW12,181.7,-81.85,0.0,bottom
SW13_2,19.822496,-100.875,0.0,top
SW13,271.7,-100.975,0.0,bottom
SW14_2,37.822496,-100.875,0.0,top
SW14,253.7,-100.975,0.0,bottom
SW15_2,55.822496,-96.625,0.0,top
SW15,235.7,-96.725,0.0,bottom
SW16_2,73.822496,-92.375,0.0,top
SW16,217.7,-92.475,0.0,bottom
SW17_2,91.822496,-96.625,0.0,top
SW17,199.7,-96.725,0.0,bottom
SW18_2,109.822496,-98.75,0.0,top
SW18,181.7,-98.85,0.0,bottom
SW19_2,82.822496,-115.75,0.0,top
SW19,208.7,-115.85,0.0,bottom
SW2_2,37.822496,-66.875,0.0,top
SW2,253.7,-66.975,0.0,bottom
SW20_2,103.072496,-117.875,350.0,top
SW20,188.45,-117.975,350.0,bottom
SW21_2,122.722496,-124.15,250.0,top
SW21,168.8,-124.25,250.0,bottom
SW22_2,151.5,-105.25,110.0,top
SW22,140.022496,-105.15,110.0,bottom
SW23_2,149.8,-96.25,90.0,top
SW23,141.722496,-96.15,90.0,bottom
SW3_2,55.822496,-62.625,0.0,top
SW3,235.7,-62.725,0.0,bottom
SW4_2,73.822496,-58.375,0.0,top
SW4,217.7,-58.475,0.0,bottom
SW5_2,91.822496,-62.625,0.0,top
SW5,199.7,-62.725,0.0,bottom
SW6_2,109.822496,-64.75,0.0,top
SW6,181.7,-64.85,0.0,bottom
SW7_2,19.822496,-83.875,0.0,top
SW7,271.7,-83.975,0.0,bottom
SW8_2,37.822496,-83.875,0.0,top
SW8,253.7,-83.975,0.0,bottom
SW9_2,55.822496,-79.625,0.0,top
SW9,235.7,-79.725,0.0,bottom
